INT	INT	STRING	STRING	STRING	STRING	STRING
2134	2	1:10000	201:0|245:10000|601:0	281:0|325:10000|604:0	-1	-1
2135	2	1:10000	201:0|245:10000|601:0	281:0|325:10000|604:0	-1	-1
2136	2	1:10000	201:0|245:10000|601:0	281:0|325:10000|604:0	-1	-1
2137	2	1:10000	201:0|245:10000|601:0	281:0|325:10000|604:0	-1	-1
2141	2	1:10000	1:0|25:10000|601:0	101:0|125:10000|604:0	-1	-1
2142	2	1:10000	1:0|25:10000|601:0	101:0|125:10000|604:0	-1	-1
2143	2	1:10000	201:0|245:10000|601:0	281:0|325:10000|604:0	-1	-1
2144	2	1:10000	201:0|245:10000|601:0	281:0|325:10000|604:0	-1	-1
2145	2	1:10000	201:0|245:10000|601:0	281:0|325:10000|604:0	-1	-1
2146	2	1:10000	201:0|245:10000|601:0	281:0|325:10000|604:0	-1	-1
2147	2	1:10000	201:0|245:10000|601:0	281:0|325:10000|604:0	-1	-1
2121	3	1:5000|2:5000	1:1000|25:3000|601:6000	101:1000|125:3000|604:6000	-1	-1
2122	3	1:5000|2:5000	1:1000|25:3000|601:6000	101:1000|125:3000|604:6000	-1	-1
2123	3	1:5000|2:5000	201:1000|245:3000|601:6000	281:1000|325:3000|604:6000	-1	-1
2124	3	1:5000|2:5000	201:1000|245:3000|601:6000	281:1000|325:3000|604:6000	-1	-1
2125	3	1:5000|2:5000	201:1000|245:3000|601:6000	281:1000|325:3000|604:6000	-1	-1
2126	3	1:5000|2:5000	201:1000|245:3000|601:6000	281:1000|325:3000|604:6000	-1	-1
2127	3	1:5000|2:5000	201:1000|245:3000|601:6000	281:1000|325:3000|604:6000	-1	-1
2131	3	1:5000|2:5000	1:1000|25:3000|601:6000	101:1000|125:3000|604:6000	-1	-1
2132	3	1:5000|2:5000	1:1000|25:3000|601:6000	101:1000|125:3000|604:6000	-1	-1
2133	3	1:5000|2:5000	201:1000|245:3000|601:6000	281:1000|325:3000|604:6000	-1	-1
2134	3	1:5000|2:5000	201:1000|245:3000|601:6000	281:1000|325:3000|604:6000	-1	-1
2135	3	1:5000|2:5000	201:1000|245:3000|601:6000	281:1000|325:3000|604:6000	-1	-1
2136	3	1:5000|2:5000	201:1000|245:3000|601:6000	281:1000|325:3000|604:6000	-1	-1
2137	3	1:5000|2:5000	201:1000|245:3000|601:6000	281:1000|325:3000|604:6000	-1	-1
2141	3	1:5000|2:5000	1:1000|25:3000|601:6000	101:1000|125:3000|604:6000	-1	-1
2142	3	1:5000|2:5000	1:1000|25:3000|601:6000	101:1000|125:3000|604:6000	-1	-1
2143	3	1:5000|2:5000	201:1000|245:3000|601:6000	281:1000|325:3000|604:6000	-1	-1
2144	3	1:5000|2:5000	201:1000|245:3000|601:6000	281:1000|325:3000|604:6000	-1	-1
2145	3	1:5000|2:5000	201:1000|245:3000|601:6000	281:1000|325:3000|604:6000	-1	-1
2146	3	1:5000|2:5000	201:1000|245:3000|601:6000	281:1000|325:3000|604:6000	-1	-1
2147	3	1:5000|2:5000	201:1000|245:3000|601:6000	281:1000|325:3000|604:6000	-1	-1
2121	4	1:5000|2:5000	1:3000|25:3000|601:4000	101:3000|125:3000|604:4000	-1	-1
2122	4	1:5000|2:5000	1:3000|25:3000|601:4000	101:3000|125:3000|604:4000	-1	-1
2123	4	1:5000|2:5000	201:3000|245:3000|601:4000	281:3000|325:3000|604:4000	-1	-1
2124	4	1:5000|2:5000	201:3000|245:3000|601:4000	281:3000|325:3000|604:4000	-1	-1
2125	4	1:5000|2:5000	201:3000|245:3000|601:4000	281:3000|325:3000|604:4000	-1	-1
2126	4	1:5000|2:5000	201:3000|245:3000|601:4000	281:3000|325:3000|604:4000	-1	-1
2127	4	1:5000|2:5000	201:3000|245:3000|601:4000	281:3000|325:3000|604:4000	-1	-1
2131	4	1:5000|2:5000	1:3000|25:3000|601:4000	101:3000|125:3000|604:4000	-1	-1
2132	4	1:5000|2:5000	1:3000|25:3000|601:4000	101:3000|125:3000|604:4000	-1	-1
2133	4	1:5000|2:5000	201:3000|245:3000|601:4000	281:3000|325:3000|604:4000	-1	-1
2134	4	1:5000|2:5000	201:3000|245:3000|601:4000	281:3000|325:3000|604:4000	-1	-1
2135	4	1:5000|2:5000	201:3000|245:3000|601:4000	281:3000|325:3000|604:4000	-1	-1
2136	4	1:5000|2:5000	201:3000|245:3000|601:4000	281:3000|325:3000|604:4000	-1	-1
2137	4	1:5000|2:5000	201:3000|245:3000|601:4000	281:3000|325:3000|604:4000	-1	-1
2141	4	1:5000|2:5000	1:3000|25:3000|601:4000	101:3000|125:3000|604:4000	-1	-1
2142	4	1:5000|2:5000	1:3000|25:3000|601:4000	101:3000|125:3000|604:4000	-1	-1
2143	4	1:5000|2:5000	201:3000|245:3000|601:4000	281:3000|325:3000|604:4000	-1	-1
2144	4	1:5000|2:5000	201:3000|245:3000|601:4000	281:3000|325:3000|604:4000	-1	-1
2145	4	1:5000|2:5000	201:3000|245:3000|601:4000	281:3000|325:3000|604:4000	-1	-1
2146	4	1:5000|2:5000	201:3000|245:3000|601:4000	281:3000|325:3000|604:4000	-1	-1
2147	4	1:5000|2:5000	201:3000|245:3000|601:4000	281:3000|325:3000|604:4000	-1	-1
2121	5	2:10000	1:5000|25:5000|601:0	101:5000|125:5000|604:0	-1	-1
2122	5	2:10000	1:5000|25:5000|601:0	101:5000|125:5000|604:0	-1	-1
2123	5	2:10000	201:5000|245:5000|601:0	281:5000|325:5000|604:0	-1	-1
2124	5	2:10000	201:5000|245:5000|601:0	281:5000|325:5000|604:0	-1	-1
2125	5	2:10000	201:5000|245:5000|601:0	281:5000|325:5000|604:0	-1	-1
2126	5	2:10000	201:5000|245:5000|601:0	281:5000|325:5000|604:0	-1	-1
2127	5	2:10000	201:5000|245:5000|601:0	281:5000|325:5000|604:0	-1	-1
2131	5	2:10000	1:5000|25:5000|601:0	101:5000|125:5000|604:0	-1	-1
2132	5	2:10000	1:5000|25:5000|601:0	101:5000|125:5000|604:0	-1	-1
2133	5	2:10000	201:5000|245:5000|601:0	281:5000|325:5000|604:0	-1	-1
2134	5	2:10000	201:5000|245:5000|601:0	281:5000|325:5000|604:0	-1	-1
2135	5	2:10000	201:5000|245:5000|601:0	281:5000|325:5000|604:0	-1	-1
2136	5	2:10000	201:5000|245:5000|601:0	281:5000|325:5000|604:0	-1	-1
2137	5	2:10000	201:5000|245:5000|601:0	281:5000|325:5000|604:0	-1	-1
2141	5	2:10000	1:5000|25:5000|601:0	101:5000|125:5000|604:0	-1	-1
2142	5	2:10000	1:5000|25:5000|601:0	101:5000|125:5000|604:0	-1	-1
2143	5	2:10000	201:5000|245:5000|601:0	281:5000|325:5000|604:0	-1	-1
2144	5	2:10000	201:5000|245:5000|601:0	281:5000|325:5000|604:0	-1	-1
2145	5	2:10000	201:5000|245:5000|601:0	281:5000|325:5000|604:0	-1	-1
2146	5	2:10000	201:5000|245:5000|601:0	281:5000|325:5000|604:0	-1	-1
2147	5	2:10000	201:5000|245:5000|601:0	281:5000|325:5000|604:0	-1	-1
3121	1	3:10000	2:0|45:4000|602:6000	101:0|125:4000|604:6000	1021:10000	1001:10000
3122	1	3:10000	2:0|45:4000|602:6000	101:0|125:4000|604:6000	1021:10000	1001:10000
3123	1	3:10000	221:0|265:4000|602:6000	281:0|325:4000|604:6000	1161:10000	1141:10000
3124	1	3:10000	221:0|265:4000|602:6000	281:0|325:4000|604:6000	1161:10000	1141:10000
3125	1	3:10000	221:0|265:4000|602:6000	281:0|325:4000|604:6000	1161:10000	1141:10000
3126	1	3:10000	221:0|265:4000|602:6000	281:0|325:4000|604:6000	1161:10000	1141:10000
3127	1	3:10000	221:0|265:4000|602:6000	281:0|325:4000|604:6000	1161:10000	1141:10000
3131	1	3:10000	2:0|45:4000|602:6000	101:0|125:4000|604:6000	1021:10000	1001:10000
3132	1	3:10000	2:0|45:4000|602:6000	101:0|125:4000|604:6000	1021:10000	1001:10000
3133	1	3:10000	221:0|265:4000|602:6000	281:0|325:4000|604:6000	1161:10000	1141:10000
3134	1	3:10000	221:0|265:4000|602:6000	281:0|325:4000|604:6000	1161:10000	1141:10000
3135	1	3:10000	221:0|265:4000|602:6000	281:0|325:4000|604:6000	1161:10000	1141:10000
3136	1	3:10000	221:0|265:4000|602:6000	281:0|325:4000|604:6000	1161:10000	1141:10000
3137	1	3:10000	221:0|265:4000|602:6000	281:0|325:4000|604:6000	1161:10000	1141:10000
3141	1	3:10000	2:0|45:4000|602:6000	101:0|125:4000|604:6000	1021:10000	1001:10000
3142	1	3:10000	2:0|45:4000|602:6000	101:0|125:4000|604:6000	1021:10000	1001:10000
3143	1	3:10000	221:0|265:4000|602:6000	281:0|325:4000|604:6000	1161:10000	1141:10000
3144	1	3:10000	221:0|265:4000|602:6000	281:0|325:4000|604:6000	1161:10000	1141:10000
3145	1	3:10000	221:0|265:4000|602:6000	281:0|325:4000|604:6000	1161:10000	1141:10000
3146	1	3:10000	221:0|265:4000|602:6000	281:0|325:4000|604:6000	1161:10000	1141:10000
3147	1	3:10000	221:0|265:4000|602:6000	281:0|325:4000|604:6000	1161:10000	1141:10000
3121	2	3:10000	2:1000|45:5000|602:4000	101:1000|125:5000|604:4000	1021:10000	1001:10000
3122	2	3:10000	2:1000|45:5000|602:4000	101:1000|125:5000|604:4000	1021:10000	1001:10000
3123	2	3:10000	221:1000|265:5000|602:4000	281:1000|325:5000|604:4000	1161:10000	1141:10000
3124	2	3:10000	221:1000|265:5000|602:4000	281:1000|325:5000|604:4000	1161:10000	1141:10000
3125	2	3:10000	221:1000|265:5000|602:4000	281:1000|325:5000|604:4000	1161:10000	1141:10000
3126	2	3:10000	221:1000|265:5000|602:4000	281:1000|325:5000|604:4000	1161:10000	1141:10000
3127	2	3:10000	221:1000|265:5000|602:4000	281:1000|325:5000|604:4000	1161:10000	1141:10000
3131	2	3:10000	2:1000|45:5000|602:4000	101:1000|125:5000|604:4000	1021:10000	1001:10000
3132	2	3:10000	2:1000|45:5000|602:4000	101:1000|125:5000|604:4000	1021:10000	1001:10000
3133	2	3:10000	221:1000|265:5000|602:4000	281:1000|325:5000|604:4000	1161:10000	1141:10000
3134	2	3:10000	221:1000|265:5000|602:4000	281:1000|325:5000|604:4000	1161:10000	1141:10000
3135	2	3:10000	221:1000|265:5000|602:4000	281:1000|325:5000|604:4000	1161:10000	1141:10000
3136	2	3:10000	221:1000|265:5000|602:4000	281:1000|325:5000|604:4000	1161:10000	1141:10000
3137	2	3:10000	221:1000|265:5000|602:4000	281:1000|325:5000|604:4000	1161:10000	1141:10000
3141	2	3:10000	2:1000|45:5000|602:4000	101:1000|125:5000|604:4000	1021:10000	1001:10000
3142	2	3:10000	2:1000|45:5000|602:4000	101:1000|125:5000|604:4000	1021:10000	1001:10000
3143	2	3:10000	221:1000|265:5000|602:4000	281:1000|325:5000|604:4000	1161:10000	1141:10000
3144	2	3:10000	221:1000|265:5000|602:4000	281:1000|325:5000|604:4000	1161:10000	1141:10000
3145	2	3:10000	221:1000|265:5000|602:4000	281:1000|325:5000|604:4000	1161:10000	1141:10000
3146	2	3:10000	221:1000|265:5000|602:4000	281:1000|325:5000|604:4000	1161:10000	1141:10000
3147	2	3:10000	221:1000|265:5000|602:4000	281:1000|325:5000|604:4000	1161:10000	1141:10000
3121	3	3:10000	2:2000|45:6000|602:2000	101:2000|125:6000|604:2000	1021:10000	1001:10000
3122	3	3:10000	2:2000|45:6000|602:2000	101:2000|125:6000|604:2000	1021:10000	1001:10000
3123	3	3:10000	221:2000|265:6000|602:2000	281:2000|325:6000|604:2000	1161:10000	1141:10000
3124	3	3:10000	221:2000|265:6000|602:2000	281:2000|325:6000|604:2000	1161:10000	1141:10000
3125	3	3:10000	221:2000|265:6000|602:2000	281:2000|325:6000|604:2000	1161:10000	1141:10000
3126	3	3:10000	221:2000|265:6000|602:2000	281:2000|325:6000|604:2000	1161:10000	1141:10000
3127	3	3:10000	221:2000|265:6000|602:2000	281:2000|325:6000|604:2000	1161:10000	1141:10000
3131	3	3:10000	2:2000|45:6000|602:2000	101:2000|125:6000|604:2000	1021:10000	1001:10000
3132	3	3:10000	2:2000|45:6000|602:2000	101:2000|125:6000|604:2000	1021:10000	1001:10000
3133	3	3:10000	221:2000|265:6000|602:2000	281:2000|325:6000|604:2000	1161:10000	1141:10000
3134	3	3:10000	221:2000|265:6000|602:2000	281:2000|325:6000|604:2000	1161:10000	1141:10000
3135	3	3:10000	221:2000|265:6000|602:2000	281:2000|325:6000|604:2000	1161:10000	1141:10000
3136	3	3:10000	221:2000|265:6000|602:2000	281:2000|325:6000|604:2000	1161:10000	1141:10000
3137	3	3:10000	221:2000|265:6000|602:2000	281:2000|325:6000|604:2000	1161:10000	1141:10000
3141	3	3:10000	2:2000|45:6000|602:2000	101:2000|125:6000|604:2000	1021:10000	1001:10000
3142	3	3:10000	2:2000|45:6000|602:2000	101:2000|125:6000|604:2000	1021:10000	1001:10000
3143	3	3:10000	221:2000|265:6000|602:2000	281:2000|325:6000|604:2000	1161:10000	1141:10000
3144	3	3:10000	221:2000|265:6000|602:2000	281:2000|325:6000|604:2000	1161:10000	1141:10000
3145	3	3:10000	221:2000|265:6000|602:2000	281:2000|325:6000|604:2000	1161:10000	1141:10000
3146	3	3:10000	221:2000|265:6000|602:2000	281:2000|325:6000|604:2000	1161:10000	1141:10000
3147	3	3:10000	221:2000|265:6000|602:2000	281:2000|325:6000|604:2000	1161:10000	1141:10000
3121	4	3:10000	2:3000|45:7000|602:0	101:3000|125:7000|604:0	1021:10000	1001:10000
3122	4	3:10000	2:3000|45:7000|602:0	101:3000|125:7000|604:0	1021:10000	1001:10000
3123	4	3:10000	221:3000|265:7000|602:0	281:3000|325:7000|604:0	1161:10000	1141:10000
3124	4	3:10000	221:3000|265:7000|602:0	281:3000|325:7000|604:0	1161:10000	1141:10000
3125	4	3:10000	221:3000|265:7000|602:0	281:3000|325:7000|604:0	1161:10000	1141:10000
3126	4	3:10000	221:3000|265:7000|602:0	281:3000|325:7000|604:0	1161:10000	1141:10000
3127	4	3:10000	221:3000|265:7000|602:0	281:3000|325:7000|604:0	1161:10000	1141:10000
3131	4	3:10000	2:3000|45:7000|602:0	101:3000|125:7000|604:0	1021:10000	1001:10000
3132	4	3:10000	2:3000|45:7000|602:0	101:3000|125:7000|604:0	1021:10000	1001:10000
3133	4	3:10000	221:3000|265:7000|602:0	281:3000|325:7000|604:0	1161:10000	1141:10000
3134	4	3:10000	221:3000|265:7000|602:0	281:3000|325:7000|604:0	1161:10000	1141:10000
3135	4	3:10000	221:3000|265:7000|602:0	281:3000|325:7000|604:0	1161:10000	1141:10000
3136	4	3:10000	221:3000|265:7000|602:0	281:3000|325:7000|604:0	1161:10000	1141:10000
3137	4	3:10000	221:3000|265:7000|602:0	281:3000|325:7000|604:0	1161:10000	1141:10000
3141	4	3:10000	2:3000|45:7000|602:0	101:3000|125:7000|604:0	1021:10000	1001:10000
3142	4	3:10000	2:3000|45:7000|602:0	101:3000|125:7000|604:0	1021:10000	1001:10000
3143	4	3:10000	221:3000|265:7000|602:0	281:3000|325:7000|604:0	1161:10000	1141:10000
3144	4	3:10000	221:3000|265:7000|602:0	281:3000|325:7000|604:0	1161:10000	1141:10000
3145	4	3:10000	221:3000|265:7000|602:0	281:3000|325:7000|604:0	1161:10000	1141:10000
3146	4	3:10000	221:3000|265:7000|602:0	281:3000|325:7000|604:0	1161:10000	1141:10000
3147	4	3:10000	221:3000|265:7000|602:0	281:3000|325:7000|604:0	1161:10000	1141:10000
3121	5	4:10000	2:10000|45:0|602:0	101:10000|125:0|604:0	1021:10000	1001:10000
3122	5	4:10000	2:10000|45:0|602:0	101:10000|125:0|604:0	1021:10000	1001:10000
3123	5	4:10000	221:10000|265:0|602:0	281:10000|325:0|604:0	1161:10000	1141:10000
3124	5	4:10000	221:10000|265:0|602:0	281:10000|325:0|604:0	1161:10000	1141:10000
3125	5	4:10000	221:10000|265:0|602:0	281:10000|325:0|604:0	1161:10000	1141:10000
3126	5	4:10000	221:10000|265:0|602:0	281:10000|325:0|604:0	1161:10000	1141:10000
3127	5	4:10000	221:10000|265:0|602:0	281:10000|325:0|604:0	1161:10000	1141:10000
3131	5	4:10000	2:10000|45:0|602:0	101:10000|125:0|604:0	1021:10000	1001:10000
3132	5	4:10000	2:10000|45:0|602:0	101:10000|125:0|604:0	1021:10000	1001:10000
3133	5	4:10000	221:10000|265:0|602:0	281:10000|325:0|604:0	1161:10000	1141:10000
3134	5	4:10000	221:10000|265:0|602:0	281:10000|325:0|604:0	1161:10000	1141:10000
3135	5	4:10000	221:10000|265:0|602:0	281:10000|325:0|604:0	1161:10000	1141:10000
3136	5	4:10000	221:10000|265:0|602:0	281:10000|325:0|604:0	1161:10000	1141:10000
3137	5	4:10000	221:10000|265:0|602:0	281:10000|325:0|604:0	1161:10000	1141:10000
3141	5	4:10000	2:10000|45:0|602:0	101:10000|125:0|604:0	1021:10000	1001:10000
3142	5	4:10000	2:10000|45:0|602:0	101:10000|125:0|604:0	1021:10000	1001:10000
3143	5	4:10000	221:10000|265:0|602:0	281:10000|325:0|604:0	1161:10000	1141:10000
3144	5	4:10000	221:10000|265:0|602:0	281:10000|325:0|604:0	1161:10000	1141:10000
3145	5	4:10000	221:10000|265:0|602:0	281:10000|325:0|604:0	1161:10000	1141:10000
3146	5	4:10000	221:10000|265:0|602:0	281:10000|325:0|604:0	1161:10000	1141:10000
3147	5	4:10000	221:10000|265:0|602:0	281:10000|325:0|604:0	1161:10000	1141:10000
2151	1	1:10000	1:0|26:0|601:10000	101:0|126:0|604:10000	-1	-1
2152	1	1:10000	1:0|26:0|601:10000	101:0|126:0|604:10000	-1	-1
2153	1	1:10000	201:0|246:0|601:10000	281:0|326:0|604:10000	-1	-1
2154	1	1:10000	201:0|246:0|601:10000	281:0|326:0|604:10000	-1	-1
2155	1	1:10000	201:0|246:0|601:10000	281:0|326:0|604:10000	-1	-1
2156	1	1:10000	201:0|246:0|601:10000	281:0|326:0|604:10000	-1	-1
2157	1	1:10000	201:0|246:0|601:10000	281:0|326:0|604:10000	-1	-1
2161	1	1:10000	1:0|26:0|601:10000	101:0|126:0|604:10000	-1	-1
2162	1	1:10000	1:0|26:0|601:10000	101:0|126:0|604:10000	-1	-1
2163	1	1:10000	201:0|246:0|601:10000	281:0|326:0|604:10000	-1	-1
2164	1	1:10000	201:0|246:0|601:10000	281:0|326:0|604:10000	-1	-1
2165	1	1:10000	201:0|246:0|601:10000	281:0|326:0|604:10000	-1	-1
2166	1	1:10000	201:0|246:0|601:10000	281:0|326:0|604:10000	-1	-1
2167	1	1:10000	201:0|246:0|601:10000	281:0|326:0|604:10000	-1	-1
2171	1	1:10000	1:0|26:0|601:10000	101:0|126:0|604:10000	-1	-1
2172	1	1:10000	1:0|26:0|601:10000	101:0|126:0|604:10000	-1	-1
2173	1	1:10000	201:0|246:0|601:10000	281:0|326:0|604:10000	-1	-1
2174	1	1:10000	201:0|246:0|601:10000	281:0|326:0|604:10000	-1	-1
2175	1	1:10000	201:0|246:0|601:10000	281:0|326:0|604:10000	-1	-1
2176	1	1:10000	201:0|246:0|601:10000	281:0|326:0|604:10000	-1	-1
2177	1	1:10000	201:0|246:0|601:10000	281:0|326:0|604:10000	-1	-1
2151	2	1:10000	1:0|26:10000|601:0	101:0|126:10000|604:0	-1	-1
2152	2	1:10000	1:0|26:10000|601:0	101:0|126:10000|604:0	-1	-1
2153	2	1:10000	201:0|246:10000|601:0	281:0|326:10000|604:0	-1	-1
2154	2	1:10000	201:0|246:10000|601:0	281:0|326:10000|604:0	-1	-1
2155	2	1:10000	201:0|246:10000|601:0	281:0|326:10000|604:0	-1	-1
2156	2	1:10000	201:0|246:10000|601:0	281:0|326:10000|604:0	-1	-1
2157	2	1:10000	201:0|246:10000|601:0	281:0|326:10000|604:0	-1	-1
2161	2	1:10000	1:0|26:10000|601:0	101:0|126:10000|604:0	-1	-1
2162	2	1:10000	1:0|26:10000|601:0	101:0|126:10000|604:0	-1	-1
2163	2	1:10000	201:0|246:10000|601:0	281:0|326:10000|604:0	-1	-1
2164	2	1:10000	201:0|246:10000|601:0	281:0|326:10000|604:0	-1	-1
2165	2	1:10000	201:0|246:10000|601:0	281:0|326:10000|604:0	-1	-1
2166	2	1:10000	201:0|246:10000|601:0	281:0|326:10000|604:0	-1	-1
2167	2	1:10000	201:0|246:10000|601:0	281:0|326:10000|604:0	-1	-1
2171	2	1:10000	1:0|26:10000|601:0	101:0|126:10000|604:0	-1	-1
2172	2	1:10000	1:0|26:10000|601:0	101:0|126:10000|604:0	-1	-1
2173	2	1:10000	201:0|246:10000|601:0	281:0|326:10000|604:0	-1	-1
2174	2	1:10000	201:0|246:10000|601:0	281:0|326:10000|604:0	-1	-1
2175	2	1:10000	201:0|246:10000|601:0	281:0|326:10000|604:0	-1	-1
2176	2	1:10000	201:0|246:10000|601:0	281:0|326:10000|604:0	-1	-1
2177	2	1:10000	201:0|246:10000|601:0	281:0|326:10000|604:0	-1	-1
2151	3	1:5000|2:5000	1:1000|26:3000|601:6000	101:1000|126:3000|604:6000	-1	-1
2152	3	1:5000|2:5000	1:1000|26:3000|601:6000	101:1000|126:3000|604:6000	-1	-1
2153	3	1:5000|2:5000	201:1000|246:3000|601:6000	281:1000|326:3000|604:6000	-1	-1
2154	3	1:5000|2:5000	201:1000|246:3000|601:6000	281:1000|326:3000|604:6000	-1	-1
2155	3	1:5000|2:5000	201:1000|246:3000|601:6000	281:1000|326:3000|604:6000	-1	-1
2156	3	1:5000|2:5000	201:1000|246:3000|601:6000	281:1000|326:3000|604:6000	-1	-1
2157	3	1:5000|2:5000	201:1000|246:3000|601:6000	281:1000|326:3000|604:6000	-1	-1
2161	3	1:5000|2:5000	1:1000|26:3000|601:6000	101:1000|126:3000|604:6000	-1	-1
2162	3	1:5000|2:5000	1:1000|26:3000|601:6000	101:1000|126:3000|604:6000	-1	-1
2163	3	1:5000|2:5000	201:1000|246:3000|601:6000	281:1000|326:3000|604:6000	-1	-1
2164	3	1:5000|2:5000	201:1000|246:3000|601:6000	281:1000|326:3000|604:6000	-1	-1
2165	3	1:5000|2:5000	201:1000|246:3000|601:6000	281:1000|326:3000|604:6000	-1	-1
2166	3	1:5000|2:5000	201:1000|246:3000|601:6000	281:1000|326:3000|604:6000	-1	-1
2167	3	1:5000|2:5000	201:1000|246:3000|601:6000	281:1000|326:3000|604:6000	-1	-1
2171	3	1:5000|2:5000	1:1000|26:3000|601:6000	101:1000|126:3000|604:6000	-1	-1
2172	3	1:5000|2:5000	1:1000|26:3000|601:6000	101:1000|126:3000|604:6000	-1	-1
2173	3	1:5000|2:5000	201:1000|246:3000|601:6000	281:1000|326:3000|604:6000	-1	-1
2174	3	1:5000|2:5000	201:1000|246:3000|601:6000	281:1000|326:3000|604:6000	-1	-1
2175	3	1:5000|2:5000	201:1000|246:3000|601:6000	281:1000|326:3000|604:6000	-1	-1
2176	3	1:5000|2:5000	201:1000|246:3000|601:6000	281:1000|326:3000|604:6000	-1	-1
2177	3	1:5000|2:5000	201:1000|246:3000|601:6000	281:1000|326:3000|604:6000	-1	-1
2151	4	1:5000|2:5000	1:3000|26:3000|601:4000	101:3000|126:3000|604:4000	-1	-1
2152	4	1:5000|2:5000	1:3000|26:3000|601:4000	101:3000|126:3000|604:4000	-1	-1
2153	4	1:5000|2:5000	201:3000|246:3000|601:4000	281:3000|326:3000|604:4000	-1	-1
2154	4	1:5000|2:5000	201:3000|246:3000|601:4000	281:3000|326:3000|604:4000	-1	-1
2155	4	1:5000|2:5000	201:3000|246:3000|601:4000	281:3000|326:3000|604:4000	-1	-1
2156	4	1:5000|2:5000	201:3000|246:3000|601:4000	281:3000|326:3000|604:4000	-1	-1
2157	4	1:5000|2:5000	201:3000|246:3000|601:4000	281:3000|326:3000|604:4000	-1	-1
2161	4	1:5000|2:5000	1:3000|26:3000|601:4000	101:3000|126:3000|604:4000	-1	-1
2162	4	1:5000|2:5000	1:3000|26:3000|601:4000	101:3000|126:3000|604:4000	-1	-1
2163	4	1:5000|2:5000	201:3000|246:3000|601:4000	281:3000|326:3000|604:4000	-1	-1
2164	4	1:5000|2:5000	201:3000|246:3000|601:4000	281:3000|326:3000|604:4000	-1	-1
2165	4	1:5000|2:5000	201:3000|246:3000|601:4000	281:3000|326:3000|604:4000	-1	-1
2166	4	1:5000|2:5000	201:3000|246:3000|601:4000	281:3000|326:3000|604:4000	-1	-1
2167	4	1:5000|2:5000	201:3000|246:3000|601:4000	281:3000|326:3000|604:4000	-1	-1
2171	4	1:5000|2:5000	1:3000|26:3000|601:4000	101:3000|126:3000|604:4000	-1	-1
2172	4	1:5000|2:5000	1:3000|26:3000|601:4000	101:3000|126:3000|604:4000	-1	-1
2173	4	1:5000|2:5000	201:3000|246:3000|601:4000	281:3000|326:3000|604:4000	-1	-1
2174	4	1:5000|2:5000	201:3000|246:3000|601:4000	281:3000|326:3000|604:4000	-1	-1
2175	4	1:5000|2:5000	201:3000|246:3000|601:4000	281:3000|326:3000|604:4000	-1	-1
2176	4	1:5000|2:5000	201:3000|246:3000|601:4000	281:3000|326:3000|604:4000	-1	-1
2177	4	1:5000|2:5000	201:3000|246:3000|601:4000	281:3000|326:3000|604:4000	-1	-1
2151	5	2:10000	1:5000|26:5000|601:0	101:5000|126:5000|604:0	-1	-1
2152	5	2:10000	1:5000|26:5000|601:0	101:5000|126:5000|604:0	-1	-1
2153	5	2:10000	201:5000|246:5000|601:0	281:5000|326:5000|604:0	-1	-1
2154	5	2:10000	201:5000|246:5000|601:0	281:5000|326:5000|604:0	-1	-1
2155	5	2:10000	201:5000|246:5000|601:0	281:5000|326:5000|604:0	-1	-1
2156	5	2:10000	201:5000|246:5000|601:0	281:5000|326:5000|604:0	-1	-1
2157	5	2:10000	201:5000|246:5000|601:0	281:5000|326:5000|604:0	-1	-1
2161	5	2:10000	1:5000|26:5000|601:0	101:5000|126:5000|604:0	-1	-1
2162	5	2:10000	1:5000|26:5000|601:0	101:5000|126:5000|604:0	-1	-1
2163	5	2:10000	201:5000|246:5000|601:0	281:5000|326:5000|604:0	-1	-1
2164	5	2:10000	201:5000|246:5000|601:0	281:5000|326:5000|604:0	-1	-1
2165	5	2:10000	201:5000|246:5000|601:0	281:5000|326:5000|604:0	-1	-1
2166	5	2:10000	201:5000|246:5000|601:0	281:5000|326:5000|604:0	-1	-1
2167	5	2:10000	201:5000|246:5000|601:0	281:5000|326:5000|604:0	-1	-1
2171	5	2:10000	1:5000|26:5000|601:0	101:5000|126:5000|604:0	-1	-1
2172	5	2:10000	1:5000|26:5000|601:0	101:5000|126:5000|604:0	-1	-1
2173	5	2:10000	201:5000|246:5000|601:0	281:5000|326:5000|604:0	-1	-1
2174	5	2:10000	201:5000|246:5000|601:0	281:5000|326:5000|604:0	-1	-1
2175	5	2:10000	201:5000|246:5000|601:0	281:5000|326:5000|604:0	-1	-1
2176	5	2:10000	201:5000|246:5000|601:0	281:5000|326:5000|604:0	-1	-1
2177	5	2:10000	201:5000|246:5000|601:0	281:5000|326:5000|604:0	-1	-1
3151	1	3:10000	2:0|46:4000|602:6000	101:0|126:4000|604:6000	1021:10000	1001:10000
3152	1	3:10000	2:0|46:4000|602:6000	101:0|126:4000|604:6000	1021:10000	1001:10000
3153	1	3:10000	221:0|266:4000|602:6000	281:0|326:4000|604:6000	1161:10000	1141:10000
3154	1	3:10000	221:0|266:4000|602:6000	281:0|326:4000|604:6000	1161:10000	1141:10000
3155	1	3:10000	221:0|266:4000|602:6000	281:0|326:4000|604:6000	1161:10000	1141:10000
3156	1	3:10000	221:0|266:4000|602:6000	281:0|326:4000|604:6000	1161:10000	1141:10000
